,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ilulissat,GL,46.42,light rain,69.2167,-51.1,Hotel Icefiord
1,Chuy,UY,66.99,broken clouds,-33.6971,-53.4616,La Fortaleza
4,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Steers
5,Labuhan,ID,78.48,clear sky,-6.8844,112.2051,Rujak makMi
8,Port Hedland,AU,62.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
9,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Entre Ollas y Sartenes
10,Takoradi,GH,78.49,broken clouds,4.8845,-1.7554,Paragon bar + grill
11,Prado,BR,79.47,scattered clouds,-17.3411,-39.2208,Cabana Brazil com Z
12,Cody,US,70.25,clear sky,44.5263,-109.0565,Buffalo Bill's Irma Hotel & Restaurant
13,Taiyuan,CN,64.26,clear sky,37.8694,112.5603,Jinjiang Inn
14,Carnarvon,AU,67.42,clear sky,-24.8667,113.6333,Sunsets Cafe
15,Nabire,ID,75.29,light rain,-3.3667,135.4833,Kios Sejahtera
16,San Patricio,US,86.16,few clouds,28.017,-97.5169,Hunt Brothers Pizza
17,Ostashkov,RU,44.94,overcast clouds,57.1467,33.1075,Ukha
19,Castro,BR,65.61,moderate rain,-24.7911,-50.0119,Kuk's Burger
23,Avera,US,76.55,clear sky,33.194,-82.5271,RedOak BBQ
25,Haines Junction,CA,37.35,overcast clouds,60.7522,-137.5108,Village Bakery and Deli
26,Esperance,AU,52.09,clear sky,-33.8667,121.9,Subway
28,Bethel,US,69.58,clear sky,41.3712,-73.414,Subway
29,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Steers
31,Caohai,CN,50.94,overcast clouds,26.8661,104.2841,德克士
32,Yulara,AU,57.18,scattered clouds,-25.2406,130.9889,Tali Wiru
34,Okato,NZ,51.91,broken clouds,-39.2,173.8833,Okato Takeaways
35,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,La Table Du Roi
36,Victoria,HK,85.32,scattered clouds,22.2855,114.1577,Yung Kee Restaurant
38,Rio Gallegos,AR,53.2,overcast clouds,-51.6226,-69.2181,La Marta | Night Fire
40,Letlhakane,BW,84.11,clear sky,-21.4167,25.5833,Hungry Lion Lethlakane
43,Norman Wells,CA,39.24,broken clouds,65.282,-126.8329,Yamouri Inn Ltd
45,Busselton,AU,50.29,clear sky,-33.65,115.3333,Baudins
46,Talnakh,RU,22.05,overcast clouds,69.4865,88.3972,"Chayhona northern, restaurant"
48,Ushuaia,AR,51.42,light rain,-54.8,-68.3,Hotel Cap Polonio
50,Atuona,PF,76.84,scattered clouds,-9.8,-139.0333,Restaurant Hoa Nui
52,Hofn,IS,45.75,scattered clouds,64.2539,-15.2082,The Vatnajokull Region
53,Sioux Lookout,CA,39.27,scattered clouds,50.1001,-91.917,Fifth Avenue Bar & Grill
55,Hilo,US,80.28,broken clouds,19.7297,-155.09,Cafe Pesto Hilo Bay
56,Yellowknife,CA,55.92,scattered clouds,62.456,-114.3525,Boston Pizza
57,Faanui,PF,77.43,light rain,-16.4833,-151.75,Bora Bora Yacht Club
58,Hervey Bay,AU,70.02,broken clouds,-25.2986,152.8535,HERVEY BAY SPORTS CLUB
59,Humaita,BR,103.35,broken clouds,-7.5061,-63.0208,Açaí do Shico
60,Eureka,US,56.93,broken clouds,40.8021,-124.1637,Lost Coast Brewery & Cafe
61,Homer,US,37.78,clear sky,59.6425,-151.5483,Subway
63,Faanui,PF,77.43,light rain,-16.4833,-151.75,Bora Bora Yacht Club
64,Sitka,US,53.02,overcast clouds,57.0531,-135.33,Subway
65,Bredasdorp,ZA,56.34,clear sky,-34.5322,20.0403,Checkers Bredasdorp
68,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Falls Hotel
69,Fortuna,US,56.66,broken clouds,40.5982,-124.1573,Double D Steak & Seafood
70,Komsomolskiy,UZ,68.72,clear sky,40.4272,71.7189,"Kabob ""ILDAM FAYZ CHORVA"" x/k"
71,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Manta Restaurant
72,Hilo,US,80.28,broken clouds,19.7297,-155.09,Cafe Pesto Hilo Bay
73,Flinders,AU,58.17,heavy intensity rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
74,Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Splash Hotel Bengkulu
75,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Kountry Kitchen
76,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Restaurante As de Oro's
77,Tuktoyaktuk,CA,32.0,light snow,69.4541,-133.0374,Grandma's Kitchen
79,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Loving Food
80,Lebu,CL,54.14,clear sky,-37.6167,-73.65,La Caleta Delivery
81,Castro,BR,65.61,moderate rain,-24.7911,-50.0119,Kuk's Burger
82,Ushuaia,AR,51.42,light rain,-54.8,-68.3,Hotel Cap Polonio
83,Ushuaia,AR,51.42,light rain,-54.8,-68.3,Hotel Cap Polonio
84,Burns Lake,CA,38.62,scattered clouds,54.2331,-125.7533,Dragon Palace Restaurant
85,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Padaria Gaúcha
86,Barrow,US,26.62,mist,71.2906,-156.7887,Osaka Restaurant
87,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Le Rochester
88,Dandong,CN,57.13,clear sky,40.1292,124.3947,Xiao Peak Kourouguan
89,Ponta Do Sol,PT,74.03,scattered clouds,32.6667,-17.1,Madeira
90,Balkanabat,TM,79.7,clear sky,39.5108,54.3671,"Ресторан ""Güneş"""
92,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Kountry Kitchen
93,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Nena Doceria & Salgaderia
95,Oxford,GB,54.18,broken clouds,51.7522,-1.256,Malmaison Oxford
96,Waddan,LY,94.32,clear sky,29.1614,16.139,مطعم الوفاء
97,Matay,EG,93.36,clear sky,28.419,30.7792,King Akhenaton Restaurant
98,Bredasdorp,ZA,56.34,clear sky,-34.5322,20.0403,Checkers Bredasdorp
99,Eureka,US,56.93,broken clouds,40.8021,-124.1637,Lost Coast Brewery & Cafe
100,Port Alfred,ZA,62.19,overcast clouds,-33.5906,26.891,MyPond Hotel
101,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Nativ Lodge & Spa
104,League City,US,86.16,clear sky,29.5075,-95.0949,Chinese Wok
105,Palasa,IN,79.47,broken clouds,18.7667,84.4167,Keerthana's Kitchen
106,Atar,MR,101.77,overcast clouds,20.5169,-13.0499,Restaurant Repos Adrar
107,Kodiak,US,35.11,few clouds,57.79,-152.4072,Subway
108,Sechura,PE,75.47,scattered clouds,-5.5569,-80.8222,Puerto Madero - Pollos a la brasa y Parrillas
110,Shieli,KZ,59.79,scattered clouds,44.1667,66.75,Khan Shatyr
111,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,La Case du Pêcheur
112,Vardo,NO,48.18,overcast clouds,70.3705,31.1107,Nordpol Kro AS
113,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Steers
114,Georgetown,MY,81.9,few clouds,5.4112,100.3354,JEN Penang Georgetown by Shangri-La
115,Pandan,PH,79.52,overcast clouds,14.0453,124.1694,Roque Sales
116,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,そば処やぶ
118,Manakara,MG,68.86,clear sky,-22.1333,48.0167,Safarie
119,Kailaras,IN,81.82,clear sky,26.3167,77.6167,Chotibala Restroant
120,Lasa,IT,58.08,broken clouds,46.6166,10.7002,Gasthof Zur Sonne
121,Hilo,US,80.28,broken clouds,19.7297,-155.09,Cafe Pesto Hilo Bay
123,Rurrenabaque,BO,89.49,scattered clouds,-14.4413,-67.5278,"Restaurant ""MOSITA"""
124,Andijon,UZ,69.08,clear sky,40.7821,72.3442,102A Restarani
125,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Steers
126,Fortuna,US,56.66,broken clouds,40.5982,-124.1573,Double D Steak & Seafood
127,Carutapera,BR,87.19,scattered clouds,-1.195,-46.02,Pizzaria e Disk Pizza Caru
129,Constitucion,CL,61.07,clear sky,-35.3333,-72.4167,"La Familia, Local de Empanadas"
130,Thompson,CA,44.76,broken clouds,55.7435,-97.8558,Tim Hortons
131,Castro,BR,65.61,moderate rain,-24.7911,-50.0119,Kuk's Burger
133,Hobart,AU,49.26,scattered clouds,-42.8794,147.3294,Hotel Grand Chancellor Hobart
135,Santa Maria,BR,74.5,clear sky,-29.6842,-53.8069,Santa Mania Super Pizzas
136,Scarborough,GB,56.77,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
137,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Falls Hotel
139,Torbay,CA,75.76,broken clouds,47.6666,-52.7314,Mary Brown's Chicken & Taters
140,Hobart,AU,49.26,scattered clouds,-42.8794,147.3294,Hotel Grand Chancellor Hobart
141,East London,ZA,65.34,light rain,-33.0153,27.9116,KFC Union
143,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Hotel Pousada Caminho do Sol
144,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Stick Bar
145,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,La bicyclette gourmande
146,Busselton,AU,50.29,clear sky,-33.65,115.3333,Baudins
147,Bathsheba,BB,84.06,scattered clouds,13.2167,-59.5167,Round House
148,Kinsale,IE,60.24,broken clouds,51.7075,-8.5306,Trident Hotel Kinsale
150,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Kountry Kitchen
152,Lata,PT,70.92,clear sky,40.1629,-8.3327,Cheiro Guloso
153,Springbok,ZA,57.7,broken clouds,-29.6643,17.8865,KFC Springbok
154,Havre-Saint-Pierre,CA,61.16,scattered clouds,50.2334,-63.5986,La Promenade
155,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Zippy's Kapolei
156,Bredasdorp,ZA,56.34,clear sky,-34.5322,20.0403,Checkers Bredasdorp
157,Lompoc,US,57.61,mist,34.6391,-120.4579,Subway
158,Bredasdorp,ZA,56.34,clear sky,-34.5322,20.0403,Checkers Bredasdorp
159,Jamestown,US,55.04,overcast clouds,42.097,-79.2353,Forte
160,Hobyo,SO,77.88,broken clouds,5.3505,48.5268,Green House
161,Esperance,AU,52.09,clear sky,-33.8667,121.9,Subway
162,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Serenity Lakeside Resort
163,Tarauaca,BR,99.79,few clouds,-8.1614,-70.7656,Semáforo Pub
165,Yeppoon,AU,67.78,light rain,-23.1333,150.7333,Thai Tanee Yeppoon
166,Ulaangom,MN,56.97,broken clouds,49.9811,92.0667,Tobu center
167,Esil,KZ,38.12,overcast clouds,51.9556,66.4042,Restoran Safari
168,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Entre Ollas y Sartenes
169,Kodiak,US,35.11,few clouds,57.79,-152.4072,Subway
170,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Hot dogs VR
171,Atuona,PF,76.84,scattered clouds,-9.8,-139.0333,Restaurant Hoa Nui
172,Necochea,AR,56.71,clear sky,-38.5473,-58.7368,Quedate Pancho Fast Food
174,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Tamarind House Restaurant & Bar
176,Ushuaia,AR,51.42,light rain,-54.8,-68.3,Hotel Cap Polonio
177,Minnedosa,CA,46.96,broken clouds,50.2453,-99.8436,Corner Stone Grill
178,Puri,IN,81.12,overcast clouds,19.8,85.85,Hotel Holiday Resort
180,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Hotel Pousada Caminho do Sol
181,Foso,GH,76.59,moderate rain,5.7012,-1.2866,wonder's catering service
182,Vada,NL,51.04,light rain,51.97,5.6667,"Wicc, Wageningen International Congress Centre B.V"
183,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Entre Ollas y Sartenes
184,Jamestown,US,55.04,overcast clouds,42.097,-79.2353,Forte
185,Kasungu,MW,74.08,few clouds,-13.0333,33.4833,FATIZ'S Restaurant
186,Kendari,ID,75.54,overcast clouds,-3.945,122.4989,Roti Imran Bakery
188,Busselton,AU,50.29,clear sky,-33.65,115.3333,Baudins
190,Marawi,PH,68.81,overcast clouds,7.9986,124.2928,Crossroads Diner
191,Griffith,US,58.46,broken clouds,41.5284,-87.4237,Squigi's Pizza of Griffith
192,Ushuaia,AR,51.42,light rain,-54.8,-68.3,Hotel Cap Polonio
193,Thompson,CA,44.76,broken clouds,55.7435,-97.8558,Tim Hortons
194,Busselton,AU,50.29,clear sky,-33.65,115.3333,Baudins
195,Ushuaia,AR,51.42,light rain,-54.8,-68.3,Hotel Cap Polonio
196,Lagoa,PT,69.4,few clouds,39.05,-27.9833,Green Light - Restaurant
197,Camocim,BR,88.79,clear sky,-2.9022,-40.8411,O Euclides Pizzaria e Churrascaria
199,Vygonichi,RU,48.31,light intensity drizzle,53.0985,34.0673,Stolovaya
200,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Falls Hotel
201,Puerto Baquerizo Moreno,EC,68.99,scattered clouds,-0.9,-89.6,Calypso
202,Mar Del Plata,AR,59.95,clear sky,-38.0023,-57.5575,Casa de Sushi
203,Khorramshahr,IR,89.56,clear sky,30.4397,48.1664,فلافل احمد
204,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Hotel Pousada Caminho do Sol
206,East London,ZA,65.34,light rain,-33.0153,27.9116,KFC Union
207,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Entre Ollas y Sartenes
209,Faanui,PF,77.43,light rain,-16.4833,-151.75,Bora Bora Yacht Club
210,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Falls Hotel
211,Port Alfred,ZA,62.19,overcast clouds,-33.5906,26.891,MyPond Hotel
212,Richards Bay,ZA,72.1,scattered clouds,-28.783,32.0377,JAFFLE JIM RICHARDS BAY
213,Cap-Aux-Meules,CA,62.65,light intensity shower rain,47.3821,-61.8597,Château Madelinot
215,Viedma,AR,64.47,clear sky,-40.8135,-62.9967,Sahara Pizza y Pasta
216,Halifax,CA,64.45,shower rain,44.6453,-63.5724,Atlantica Hotel Halifax
217,Georgetown,MY,81.9,few clouds,5.4112,100.3354,JEN Penang Georgetown by Shangri-La
219,Talnakh,RU,22.05,overcast clouds,69.4865,88.3972,"Chayhona northern, restaurant"
221,Chuy,UY,66.99,broken clouds,-33.6971,-53.4616,La Fortaleza
222,Hithadhoo,MV,79.43,overcast clouds,-0.6,73.0833,Super Scoop Restaurant
224,New Norfolk,AU,48.92,overcast clouds,-42.7826,147.0587,Subway
225,Hobart,AU,49.26,scattered clouds,-42.8794,147.3294,Hotel Grand Chancellor Hobart
226,Barrow,US,26.62,mist,71.2906,-156.7887,Osaka Restaurant
229,Barrow,US,26.62,mist,71.2906,-156.7887,Osaka Restaurant
230,Socastee,US,77.09,clear sky,33.6835,-78.9984,Papa John's Pizza
232,Hithadhoo,MV,79.43,overcast clouds,-0.6,73.0833,Super Scoop Restaurant
233,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Falls Hotel
